"region","year","cases"
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2014,3
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2015,0
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2016,77
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2017,2
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2018,15
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2019,5
"COD.1_1,COD.10_1,COD.11_1,COD.12_1,COD.13_1,COD.14_1,COD.15_1,COD.16_1,COD.17_1,COD.18_1,COD.19_1,COD.2_1,COD.20_1,COD.21_1,COD.22_1,COD.23_1,COD.24_1,COD.25_1,COD.26_1,COD.3_1,COD.4_1,COD.5_1,COD.6_1,COD.7_1,COD.8_1,COD.9_1",2020,529
"GHA.1_1,GHA.10_1,GHA.2_1,GHA.3_1,GHA.4_1,GHA.5_1,GHA.6_1,GHA.7_1,GHA.8_1,GHA.9_1",2000,0
"GHA.1_1,GHA.10_1,GHA.2_1,GHA.3_1,GHA.4_1,GHA.5_1,GHA.6_1,GHA.7_1,GHA.8_1,GHA.9_1",2001,0
"GHA.1_1,GHA.10_1,GHA.2_1,GHA.3_1,GHA.4_1,GHA.5_1,GHA.6_1,GHA.7_1,GHA.8_1,GHA.9_1",2002,51
